filepath,xmin,xmax,ymin,ymax
Data/images/N199.xml,45,112,206,255
Data/images/N242.xml,202,386,190,227
Data/images/N229.xml,358,1031,294,540
Data/images/N148.xml,244,369,240,293
Data/images/N63.xml,297,422,174,218
Data/images/N21.xml,244,403,221,258
Data/images/N62.xml,289,421,188,232
Data/images/N239.xml,106,263,238,276
Data/images/N121.xml,311,506,324,370
Data/images/N73.xml,124,209,102,130
Data/images/N82.xml,456,651,722,778
Data/images/N133.xml,795,1095,751,840
Data/images/N17.xml,88,216,507,556
Data/images/N25.xml,132,235,169,193
Data/images/N142.xml,66,174,234,259
Data/images/N19.xml,99,216,367,423
Data/images/N46.xml,454,797,109,234
Data/images/N126.xml,149,399,269,327
Data/images/N236.xml,313,380,111,141
Data/images/N209.xml,145,319,200,244
Data/images/N215.xml,85,258,390,446
Data/images/N31.xml,256,381,233,261
Data/images/N164.xml,248,421,121,174
Data/images/N213.xml,131,209,129,153
Data/images/N179.xml,203,297,217,240
Data/images/N186.xml,464,561,286,344
Data/images/N79.xml,113,277,288,347
Data/images/N131.xml,198,349,107,143
Data/images/N134.xml,230,365,188,219
Data/images/N210.xml,143,337,210,254
Data/images/N222.xml,127,183,122,156
Data/images/N1.xml,1093,1396,645,727
Data/images/N20.xml,498,796,729,814
Data/images/N191.xml,317,568,319,397
Data/images/N81.xml,66,174,302,332
Data/images/N220.xml,182,349,238,273
Data/images/N241.xml,251,542,308,385
Data/images/N165.xml,186,374,290,335
Data/images/N74.xml,161,366,210,250
Data/images/N9.xml,142,441,55,167
Data/images/N170.xml,299,442,337,386
Data/images/N44.xml,113,257,282,322
Data/images/N96.xml,137,352,141,186
Data/images/N16.xml,887,1173,625,696
Data/images/N77.xml,361,566,190,297
Data/images/N92.xml,113,420,209,260
Data/images/N12.xml,976,1284,669,754
Data/images/N43.xml,142,298,281,327
Data/images/N225.xml,775,1142,965,1101
Data/images/N172.xml,147,370,133,184
Data/images/N107.xml,207,356,174,287
Data/images/N28.xml,738,1009,654,722
Data/images/N171.xml,13,444,137,270
Data/images/N187.xml,572,839,461,535
Data/images/N86.xml,448,638,273,338
Data/images/N132.xml,111,320,133,286
Data/images/N111.xml,80,239,364,402
Data/images/N45.xml,107,256,147,180
Data/images/N160.xml,153,251,196,217
Data/images/N153.xml,133,279,352,385
Data/images/N2.xml,1804,2493,1734,1882
Data/images/N223.xml,69,585,79,183
Data/images/N78.xml,146,302,160,196
Data/images/N233.xml,99,223,20,50
Data/images/N158.xml,122,224,268,292
Data/images/N127.xml,24,142,209,245
Data/images/N70.xml,186,395,376,430
Data/images/N69.xml,637,840,464,549
Data/images/N24.xml,151,280,193,224
Data/images/N6.xml,858,1122,611,676
Data/images/N35.xml,97,229,338,378
Data/images/N50.xml,101,397,223,291
Data/images/N240.xml,164,285,99,137
Data/images/N219.xml,1,300,92,154
Data/images/N51.xml,383,491,212,248
Data/images/N68.xml,319,479,262,295
Data/images/N102.xml,164,316,216,243
Data/images/N197.xml,120,184,103,130
Data/images/N173.xml,80,335,150,243
Data/images/N190.xml,896,1558,814,969
Data/images/N89.xml,150,378,217,269
Data/images/N143.xml,115,524,144,296
Data/images/N59.xml,1238,2468,1012,1269
Data/images/N75.xml,466,740,680,737
Data/images/N64.xml,19,94,249,314
Data/images/N33.xml,856,1218,665,751
Data/images/N139.xml,341,607,954,1011
Data/images/N166.xml,809,1034,246,295
Data/images/N40.xml,328,580,208,254
Data/images/N72.xml,186,325,177,212
Data/images/N48.xml,156,335,259,303
Data/images/N244.xml,335,452,313,343
Data/images/N208.xml,199,274,203,221
Data/images/N94.xml,63,243,234,274
Data/images/N42.xml,163,373,253,327
Data/images/N183.xml,216,343,155,190
Data/images/N212.xml,159,353,115,173
Data/images/N150.xml,172,372,97,143
Data/images/N90.xml,53,185,206,232
Data/images/N162.xml,147,336,169,209
Data/images/N80.xml,248,372,116,144
Data/images/N175.xml,183,250,205,229
Data/images/N206.xml,121,215,120,147
Data/images/N112.xml,179,347,256,290
Data/images/N155.xml,145,313,167,201
Data/images/N204.xml,94,206,307,334
Data/images/N49.xml,196,352,135,173
Data/images/N108.xml,184,342,220,257
Data/images/N99.xml,158,389,129,193
Data/images/N211.xml,74,160,149,175
Data/images/N65.xml,1024,1273,611,680
Data/images/N147.xml,424,613,548,591
Data/images/N85.xml,163,302,357,427
Data/images/N141.xml,150,348,255,296
Data/images/N14.xml,1058,1351,660,756
Data/images/N88.xml,208,370,89,173
Data/images/N154.xml,106,245,157,196
Data/images/N5.xml,938,1173,709,762
Data/images/N156.xml,49,106,230,249
Data/images/N136.xml,787,910,473,513
Data/images/N214.xml,167,277,189,226
Data/images/N105.xml,360,434,174,195
Data/images/N54.xml,189,299,162,188
Data/images/N144.xml,39,177,201,275
Data/images/N217.xml,404,585,429,468
Data/images/N47.xml,161,313,212,259
Data/images/N95.xml,23,408,173,391
Data/images/N176.xml,195,383,320,358
Data/images/N138.xml,36,465,64,168
Data/images/N149.xml,186,324,116,148
Data/images/N11.xml,131,187,130,144
Data/images/N185.xml,321,559,420,484
Data/images/N57.xml,211,406,161,202
Data/images/N104.xml,66,154,166,197
Data/images/N106.xml,137,262,249,290
Data/images/N193.xml,274,502,2,59
Data/images/N151.xml,144,277,216,252
Data/images/N123.xml,11,246,78,165
Data/images/N36.xml,392,517,161,213
Data/images/N91.xml,239,347,187,211
Data/images/N247.xml,641,886,518,578
Data/images/N3.xml,73,260,381,462
Data/images/N113.xml,39,108,129,157
Data/images/N224.xml,164,272,223,247
Data/images/N93.xml,385,746,293,434
Data/images/N207.xml,213,339,280,307
Data/images/N221.xml,104,209,153,182
Data/images/N8.xml,788,1525,1675,1851
Data/images/N195.xml,186,367,137,232
Data/images/N61.xml,158,350,252,297
Data/images/N130.xml,419,513,173,213
Data/images/N178.xml,210,335,289,351
Data/images/N248.xml,288,429,248,281
Data/images/N56.xml,302,486,265,303
Data/images/N234.xml,224,307,158,183
Data/images/N196.xml,119,220,84,111
Data/images/N230.xml,271,484,332,384
Data/images/N97.xml,175,290,228,255
Data/images/N53.xml,217,428,147,188
Data/images/N232.xml,286,451,216,258
Data/images/N135.xml,157,341,197,247
Data/images/N38.xml,397,645,590,641
Data/images/N137.xml,401,593,456,493
Data/images/N203.xml,765,1258,821,905
Data/images/N218.xml,176,301,212,238
Data/images/N202.xml,157,329,260,296
Data/images/N168.xml,271,474,514,561
Data/images/N235.xml,44,656,128,391
Data/images/N117.xml,120,249,161,202
Data/images/N152.xml,265,725,247,347
Data/images/N119.xml,180,559,216,314
Data/images/N200.xml,196,442,227,293
Data/images/N100.xml,134,301,312,350
Data/images/N140.xml,346,423,197,221
Data/images/N181.xml,361,499,381,432
Data/images/N129.xml,301,504,351,402
Data/images/N7.xml,1149,1358,649,702
Data/images/N167.xml,345,848,242,416
Data/images/N22.xml,493,858,885,967
Data/images/N66.xml,163,320,247,280
Data/images/N188.xml,587,711,760,832
Data/images/N15.xml,582,853,622,691
Data/images/N101.xml,31,139,128,161
Data/images/N37.xml,77,200,231,290
Data/images/N30.xml,928,1219,543,606
Data/images/N174.xml,315,665,442,531
Data/images/N23.xml,107,201,264,288
Data/images/N226.xml,142,343,253,304
Data/images/N163.xml,230,316,203,231
Data/images/N189.xml,178,381,121,181
Data/images/N177.xml,331,538,263,317
Data/images/N120.xml,647,736,332,387
Data/images/N169.xml,167,413,208,263
Data/images/N231.xml,581,700,273,319
Data/images/N184.xml,229,1391,204,660
Data/images/N128.xml,58,221,198,271
Data/images/N84.xml,235,349,319,352
Data/images/N198.xml,214,335,138,169
Data/images/N192.xml,543,769,390,461
Data/images/N32.xml,360,500,171,206
Data/images/N201.xml,157,290,193,229
Data/images/N114.xml,15,200,33,126
Data/images/N103.xml,813,1067,665,724
Data/images/N4.xml,1326,1830,1464,1607
Data/images/N67.xml,164,336,162,195
Data/images/N27.xml,696,1061,546,677
Data/images/N34.xml,576,902,487,596
Data/images/N145.xml,233,432,88,151
Data/images/N205.xml,322,479,169,203
Data/images/N245.xml,192,364,279,319
Data/images/N98.xml,563,675,207,238
Data/images/N238.xml,165,341,129,170
Data/images/N246.xml,23,160,261,321
Data/images/N58.xml,221,430,190,231
Data/images/N122.xml,342,494,243,288
Data/images/N109.xml,148,239,250,320
Data/images/N18.xml,373,528,366,408
Data/images/N124.xml,165,328,276,324
Data/images/N118.xml,532,852,636,706
Data/images/N227.xml,626,768,280,359
Data/images/N216.xml,322,682,300,371
Data/images/N110.xml,183,249,211,227
Data/images/N116.xml,157,316,226,278
Data/images/N237.xml,121,243,163,198
Data/images/N52.xml,234,422,254,294
